"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias"
"Cód.","Município","2020"
"Cód.","Município","Arroz (em casca)","Milho (em grão)","Soja (em grão)"
"4306007","Crissiumal (RS)","-","3756","11000"
"4306056","Cristal (RS)","5080","750","10000"
"4306072","Cristal do Sul (RS)","-","2000","4900"
"4306106","Cruz Alta (RS)","-","6500","92000"
"4306130","Cruzaltense (RS)","-","1280","7350"
"4306205","Cruzeiro do Sul (RS)","652","1450","3000"
"4306304","David Canabarro (RS)","-","1500","7000"
"4306320","Derrubadas (RS)","-","2300","10000"
"4306353","Dezesseis de Novembro (RS)","-","310","1150"
"4306379","Dilermando de Aguiar (RS)","2500","350","25000"
"4306403","Dois Irmãos (RS)","-","100","-"
"4306429","Dois Irmãos das Missões (RS)","-","1800","15500"
"4306452","Dois Lajeados (RS)","-","800","1200"
"4306502","Dom Feliciano (RS)","30","5000","1440"
"4306551","Dom Pedro de Alcântara (RS)","100","-","-"
"4306601","Dom Pedrito (RS)","35841","1500","120000"
"4306700","Dona Francisca (RS)","2350","420","520"
"4306734","Doutor Maurício Cardoso (RS)","-","6830","13750"
"4306759","Doutor Ricardo (RS)","-","1000","200"
"4306767","Eldorado do Sul (RS)","11386","80","2000"
"4306809","Encantado (RS)","-","650","360"
"4306908","Encruzilhada do Sul (RS)","700","2000","42000"
"4306924","Engenho Velho (RS)","-","200","5500"
"4306932","Entre-Ijuís (RS)","-","4000","32800"
"4306957","Entre Rios do Sul (RS)","-","300","5400"
"4306973","Erebango (RS)","2","750","10200"
"4307005","Erechim (RS)","-","1320","10000"
"4307054","Ernestina (RS)","-","300","17100"
"4307104","Herval (RS)","-","1400","13000"
"4307203","Erval Grande (RS)","4","1200","2600"
"4307302","Erval Seco (RS)","-","3000","14000"
"4307401","Esmeralda (RS)","-","3000","29000"
"4307450","Esperança do Sul (RS)","-","1400","4700"
"4307500","Espumoso (RS)","-","1200","51830"
"4307559","Estação (RS)","-","250","5750"
"4307609","Estância Velha (RS)","-","60","-"
"4307708","Esteio (RS)","450","-","-"
"4307807","Estrela (RS)","-","1400","1700"
"4307815","Estrela Velha (RS)","-","950","12750"
"4307831","Eugênio de Castro (RS)","-","2440","27620"
"4307864","Fagundes Varela (RS)","-","1700","1000"
"4307906","Farroupilha (RS)","-","1600","-"
"4308003","Faxinal do Soturno (RS)","1900","280","1800"
"4308052","Faxinalzinho (RS)","-","400","5500"
"4308078","Fazenda Vilanova (RS)","-","300","600"
"4308102","Feliz (RS)","-","120","-"
"4308201","Flores da Cunha (RS)","-","400","-"
"4308250","Floriano Peixoto (RS)","-","1000","6000"
"4308300","Fontoura Xavier (RS)","-","1000","5000"
"4308409","Formigueiro (RS)","8175","200","9500"
"4308433","Forquetinha (RS)","-","350","240"
"4308458","Fortaleza dos Valos (RS)","-","1760","36840"
"4308508","Frederico Westphalen (RS)","5","3300","6900"
"4308607","Garibaldi (RS)","-","500","-"
"4308656","Garruchos (RS)","180","1450","18620"
"4308706","Gaurama (RS)","-","800","8200"
"4308805","General Câmara (RS)","2112","2000","9000"
"4308854","Gentil (RS)","-","300","10500"
"4308904","Getúlio Vargas (RS)","-","2700","15000"
"4309001","Giruá (RS)","-","5330","58400"
"4309050","Glorinha (RS)","1900","100","1200"
"4309100","Gramado (RS)","-","800","-"
"4309126","Gramado dos Loureiros (RS)","-","900","6100"
"4309159","Gramado Xavier (RS)","5","1500","3000"
"4309209","Gravataí (RS)","800","20","500"
"4309258","Guabiju (RS)","-","1100","5000"
"4309308","Guaíba (RS)","3876","120","1000"
"4309407","Guaporé (RS)","-","2000","3600"
"4309506","Guarani das Missões (RS)","-","2250","15000"
"4309555","Harmonia (RS)","-","20","-"
"4309571","Herveiras (RS)","-","1300","300"
