"""latitude"",""longitude"",""class"",""b0_GCVI"",""b1_GCVI"",""b2_GCVI"",""b3_GCVI"",""b4_GCVI"""
"-28.6371175,-52.83697238,""soybean"",0.3113980293273926,-1.3880019187927246,-2.229501724243164,-0.2818514406681061,-1.7996424436569214"
"-27.7276856,-52.49729266,""soybean"",1.5385150909423828,-1.8515106439590456,-0.5665042996406555,-2.169018030166626,-2.534939765930176"
"-27.831691,-51.69108807,""soybean"",1.7182517051696775,-0.510379433631897,-0.7366225719451904,-0.8904094696044922,-1.6652469635009766"
"-27.6945515,-53.00807133,""soybean"",-1.3143460750579834,-3.5066308975219727,-5.210392951965332,1.6090425252914429,-4.304508209228516"
"-27.9832434,-53.09385852,""soybean"",-0.3905647397041321,-2.724594831466675,-3.98685359954834,-0.2381128221750259,-3.222928524017334"
"-28.2415748,-52.03579817,""soybean"",-0.2693178951740265,-2.841367483139038,-4.461726665496826,0.4049988389015198,-4.423104286193848"
"-28.4807489,-53.54981465,""soybean"",-1.521160125732422,-2.346540689468384,-5.785217761993408,1.1486661434173584,-3.8910624980926514"
"-29.0926739,-52.82146884,""soybean"",-7.569074153900147,-7.468171119689941,-14.476337432861328,3.4006834030151367,-7.142107963562012"
"-27.7504493,-53.32148618,""soybean"",-1.7967392206192017,-3.833796501159668,-6.602123737335205,1.3199057579040527,-5.047505855560303"
"-28.3493203,-52.71483222,""soybean"",-0.09255576133728027,-1.7603394985198977,-3.377235412597656,-0.6224873065948486,-2.80025863647461"
"-28.6436438,-55.84821698,""soybean"",0.12620562314987183,-1.9337427616119385,-3.7138168811798096,0.7883236408233643,-3.992940187454224"
"-29.3413101,-52.94874161,""soybean"",-4.348281383514404,-4.580082893371582,-9.040975570678713,2.390820264816284,-4.419890880584717"
"-28.5614539,-52.60409572,""soybean"",0.938110053539276,-0.8107884526252747,-0.8860722780227661,-0.2971037030220032,-1.2883552312850952"
"-28.2876244,-53.93311382,""soybean"",-4.258626461029053,-5.858203411102295,-10.126920700073242,3.506141424179077,-6.392277717590332"
