code_mun,rice_crop,corn_crop,soybean_crop
4313466,NA,900,3700
4313490,NA,1300,4500
4313508,4000,90,2000
4313607,NA,1000,5400
4313656,11412,180,6573
4313706,NA,14500,105000
4313805,2,2000,650
4313904,NA,1500,26000
4313953,4200,450,21300
4314001,NA,1100,1400
4314027,3943,3000,3000
4314035,NA,10,NA
4314050,NA,10,17
4314068,NA,1000,5100
4314076,570,1400,5800
4314100,NA,1400,41000
4314134,NA,850,6150
4314159,NA,1100,400
4314175,535,350,40000
4314209,2201,123,9100
4314308,NA,1480,30000
4314407,7422,6200,22000
4314423,1,200,NA
4314456,NA,1000,1000
4314464,NA,2500,7000
4314472,NA,1140,20200
4314498,1,1200,900
4314506,NA,1300,6300
4314548,NA,224,NA
4314555,NA,1200,6200
4314605,535,2000,40000
4314704,1,1700,2300
4314753,NA,70,NA
4314779,NA,3000,33500
4314787,NA,550,4700
4314803,160,100,450
4314902,370,30,242
4315008,NA,1610,4008
4315057,NA,1500,3200
4315073,NA,440,350
4315107,NA,1100,1200
4315131,NA,1000,12
4315149,1,50,NA
4315156,NA,1400,96
4315172,NA,1025,1484
4315206,1,1600,500
4315305,10584,40,400
4315313,NA,2000,13000
4315321,NA,400,27000
4315354,NA,200,10000
4315404,NA,2700,12800
4315453,NA,500,180
4315503,15430,650,25700
4315552,NA,1400,8000
4315602,17422,200,11203
4315701,8100,2990,77200
4315750,1,225,NA
4315800,NA,1700,1900
4315909,NA,1800,3500
4315958,NA,2050,13700
4316006,280,700,NA
4316428,NA,1500,3500
4316436,NA,750,13666
4316451,NA,2100,26000
4316477,NA,850,3400
4316501,4,1100,NA
4316600,NA,2000,23000
4316709,NA,4000,76000
4316733,NA,600,9000
4316758,NA,1200,730
4316808,1750,4500,3400
4316907,5792,190,49345
4316956,5,1100,12
4316972,5217,100,36000
4317004,380,2000,37000
4317103,8508,3500,55000
4317202,NA,2500,19500
4317251,NA,225,NA
4317301,63251,40,31000
4317400,NA,2200,48530
4317509,NA,3400,36300
4317558,4,400,4000
4317608,12000,2000,5500
4317707,2829,4780,52100
4317756,NA,907,13920
4317806,NA,4500,31000
4317905,NA,4408,7315
4317954,NA,400,5600
4318002,37584,6000,70000
4318051,NA,780,1700
4318101,2738,2550,53000
4318200,NA,3200,7500
4318309,26690,2700,125000
4318408,1240,600,4500
4318424,NA,1100,6260
4318432,2033,70,700
4318440,NA,1430,2150
4318457,NA,900,4500
4318465,NA,400,270
4318481,4,140,NA
4318499,NA,300,2000
4318507,1482,250,NA
4318606,NA,1800,19800
4318614,NA,60,NA
4318622,NA,1100,120
4318705,NA,20,NA
4318804,7302,15000,40000
4318903,NA,10600,75650
4319000,NA,650,NA
4319109,NA,2300,11600
4319125,45,310,31510
4319158,NA,7000,74000
4319208,NA,3700,17100
4319307,NA,2100,3500
4319356,NA,110,NA
4319364,NA,800,5500
4319372,NA,1115,4000
4319406,4000,1500,16130
4319505,NA,200,NA
4319604,16000,2040,67000
4319703,NA,1100,3500
4319711,NA,540,800
4319737,NA,620,5100
4319752,NA,40,NA
4319802,9275,420,30000
4319901,104,120,NA
4320008,NA,NA,30
4320107,NA,2100,18200
4320206,5,4500,10000
4320230,NA,850,6350
4320263,4,1800,5450
4320305,NA,600,11340
4320321,NA,815,8045
4320354,2828,750,1000
4320404,NA,1600,3450
4320453,NA,350,6
4320503,NA,2800,32500
4320552,1330,1400,320
4320578,NA,550,6580
4320602,NA,1200,4000
4320651,NA,405,4500
4320677,8,3500,1150
4320701,NA,700,2350
4320800,NA,800,42000
4320859,NA,90,NA
4320909,NA,1700,14500
4321006,NA,900,13500
4321105,17122,188,13000
4321204,882,100,30
4321303,3036,850,170
4321329,2,1450,2630
4321352,1932,300,504
4321402,3,3000,13500
4321436,100,42,NA
4321451,NA,1500,550
4321469,NA,30,6950
4321477,NA,2000,5200
4321493,250,1000,2350
4321501,3550,95,NA
4321600,200,10,5
4321626,NA,300,175
4321634,NA,1600,3650
4321667,420,100,NA
4321709,1,200,1
4321907,2,2800,9000
4321956,NA,1500,10500
4322004,7500,1500,1300
4322103,NA,4350,10500
4322152,NA,300,6200
4322186,NA,500,6700
4322202,NA,2530,149100
4322251,1,65,NA
4322301,NA,4029,12529
4322327,1481,1400,5500
4322343,NA,250,5100
4322350,NA,1100,3000
4322376,NA,500,9800
4322400,75000,NA,1312
4322509,NA,13500,55000
4322525,800,650,7000
4322533,1200,2100,780
4322541,NA,90,NA
4322558,NA,550,1600
4322608,1900,8900,3950
4322707,900,3000,900
4322806,NA,900,950
4322855,NA,1000,2150
4322905,NA,2000,10000
4323002,18662,400,4191
4323101,2,4000,3800
4323200,NA,1600,15000
4323309,NA,900,800
4323358,NA,1500,8300
4323408,NA,1300,8000
4323457,200,1000,12000
4323507,2,900,1500
4323606,NA,475,1100
4323705,NA,1100,3500
4323754,20,2177,10687
4323770,NA,150,50
