code_mun,mesoregion
4319307,Noroeste Rio-grandense
4319356,Metropolitana de Porto Alegre
4319372,Noroeste Rio-grandense
4319406,Centro Ocidental Rio-grandense
4319505,Metropolitana de Porto Alegre
4319604,Centro Ocidental Rio-grandense
4319703,Noroeste Rio-grandense
4319737,Noroeste Rio-grandense
4319752,Metropolitana de Porto Alegre
4319802,Centro Ocidental Rio-grandense
4319901,Metropolitana de Porto Alegre
4320008,Metropolitana de Porto Alegre
4320107,Noroeste Rio-grandense
4320206,Noroeste Rio-grandense
4320230,Noroeste Rio-grandense
4320263,Centro Oriental Rio-grandense
4320305,Noroeste Rio-grandense
4320321,Noroeste Rio-grandense
4320354,Metropolitana de Porto Alegre
4320453,Centro Oriental Rio-grandense
4320503,Noroeste Rio-grandense
4320552,Metropolitana de Porto Alegre
4320578,Noroeste Rio-grandense
4320602,Noroeste Rio-grandense
4320651,Centro Ocidental Rio-grandense
4320677,Centro Oriental Rio-grandense
4320701,Centro Oriental Rio-grandense
4320800,Noroeste Rio-grandense
4320859,Centro Oriental Rio-grandense
4320909,Noroeste Rio-grandense
4321006,Noroeste Rio-grandense
4321105,Metropolitana de Porto Alegre
4321204,Metropolitana de Porto Alegre
4321303,Centro Oriental Rio-grandense
4321329,Noroeste Rio-grandense
4321352,Metropolitana de Porto Alegre
4321402,Noroeste Rio-grandense
4321436,Metropolitana de Porto Alegre
4321451,Centro Oriental Rio-grandense
4321477,Noroeste Rio-grandense
4321493,Centro Ocidental Rio-grandense
4321501,Metropolitana de Porto Alegre
4321600,Metropolitana de Porto Alegre
4321626,Centro Oriental Rio-grandense
4321634,Noroeste Rio-grandense
4321667,Metropolitana de Porto Alegre
4321709,Metropolitana de Porto Alegre
4321808,Noroeste Rio-grandense
4321832,Metropolitana de Porto Alegre
4321857,Noroeste Rio-grandense
4321907,Noroeste Rio-grandense
4321956,Noroeste Rio-grandense
4322004,Metropolitana de Porto Alegre
4322103,Noroeste Rio-grandense
4322152,Noroeste Rio-grandense
4322186,Noroeste Rio-grandense
4322202,Centro Ocidental Rio-grandense
4322251,Metropolitana de Porto Alegre
4322301,Noroeste Rio-grandense
4322327,Sudeste Rio-grandense
4322343,Noroeste Rio-grandense
4322376,Centro Ocidental Rio-grandense
4322400,Sudoeste Rio-grandense
4322525,Metropolitana de Porto Alegre
4322533,Centro Oriental Rio-grandense
4322541,Metropolitana de Porto Alegre
4322558,Noroeste Rio-grandense
4322608,Centro Oriental Rio-grandense
4322707,Centro Oriental Rio-grandense
4322855,Centro Oriental Rio-grandense
4322905,Noroeste Rio-grandense
4323002,Metropolitana de Porto Alegre
4323101,Noroeste Rio-grandense
4323200,Noroeste Rio-grandense
4323358,Noroeste Rio-grandense
4323408,Noroeste Rio-grandense
4323457,Centro Ocidental Rio-grandense
4323507,Noroeste Rio-grandense
4323705,Noroeste Rio-grandense
4323754,Noroeste Rio-grandense
4323804,Metropolitana de Porto Alegre
4316402,Sudoeste Rio-grandense
4300034,Sudoeste Rio-grandense
4300471,Noroeste Rio-grandense
4301073,Sudeste Rio-grandense
4302220,Noroeste Rio-grandense
4302238,Noroeste Rio-grandense
4302584,Noroeste Rio-grandense
4304614,Centro Oriental Rio-grandense
4304655,Centro Ocidental Rio-grandense
4305835,Centro Oriental Rio-grandense
4306130,Noroeste Rio-grandense
4308433,Centro Oriental Rio-grandense
4310652,Metropolitana de Porto Alegre
4310876,Noroeste Rio-grandense
4311239,Centro Oriental Rio-grandense
4312179,Noroeste Rio-grandense
4313466,Noroeste Rio-grandense
4314134,Noroeste Rio-grandense
4314175,Sudeste Rio-grandense
4315313,Noroeste Rio-grandense
4315958,Noroeste Rio-grandense
4316733,Noroeste Rio-grandense
4300059,Noroeste Rio-grandense
4300109,Centro Ocidental Rio-grandense
4300208,Noroeste Rio-grandense
4300307,Noroeste Rio-grandense
4300406,Sudoeste Rio-grandense
4300455,Noroeste Rio-grandense
4300505,Noroeste Rio-grandense
4300554,Noroeste Rio-grandense
4300570,Metropolitana de Porto Alegre
4300604,Metropolitana de Porto Alegre
4300638,Sudeste Rio-grandense
4300646,Noroeste Rio-grandense
4316972,Sudoeste Rio-grandense
4300851,Metropolitana de Porto Alegre
4319364,Noroeste Rio-grandense
4300877,Metropolitana de Porto Alegre
4321469,Noroeste Rio-grandense
4300901,Noroeste Rio-grandense
4301008,Centro Oriental Rio-grandense
4323770,Centro Oriental Rio-grandense
4318614,Metropolitana de Porto Alegre
4301057,Metropolitana de Porto Alegre
4301107,Metropolitana de Porto Alegre
4301206,Centro Oriental Rio-grandense
4301305,Sudeste Rio-grandense
4301503,Noroeste Rio-grandense
4301552,Noroeste Rio-grandense
4301602,Sudoeste Rio-grandense
4301636,Metropolitana de Porto Alegre
4301651,Metropolitana de Porto Alegre
4301701,Noroeste Rio-grandense
4301750,Metropolitana de Porto Alegre
4301800,Noroeste Rio-grandense
4301859,Noroeste Rio-grandense
4301875,Sudoeste Rio-grandense
4301909,Metropolitana de Porto Alegre
4301925,Noroeste Rio-grandense
4301958,Noroeste Rio-grandense
4302006,Noroeste Rio-grandense
4302055,Noroeste Rio-grandense
4302154,Noroeste Rio-grandense
4302204,Noroeste Rio-grandense
4302352,Metropolitana de Porto Alegre
4302378,Noroeste Rio-grandense
4302402,Centro Oriental Rio-grandense
4302451,Centro Oriental Rio-grandense
4302501,Noroeste Rio-grandense
4302600,Noroeste Rio-grandense
4302659,Metropolitana de Porto Alegre
4302709,Metropolitana de Porto Alegre
4302808,Sudeste Rio-grandense
4302907,Centro Ocidental Rio-grandense
4303004,Centro Oriental Rio-grandense
4303103,Metropolitana de Porto Alegre
4303202,Noroeste Rio-grandense
4303301,Noroeste Rio-grandense
4303400,Noroeste Rio-grandense
4303509,Metropolitana de Porto Alegre
4303558,Noroeste Rio-grandense
4303707,Noroeste Rio-grandense
4303806,Noroeste Rio-grandense
4303905,Metropolitana de Porto Alegre
4304002,Noroeste Rio-grandense
4304101,Noroeste Rio-grandense
4304200,Centro Oriental Rio-grandense
4304309,Noroeste Rio-grandense
4304358,Sudeste Rio-grandense
4304408,Metropolitana de Porto Alegre
4304507,Sudeste Rio-grandense
4304606,Metropolitana de Porto Alegre
4304630,Metropolitana de Porto Alegre
4304663,Sudeste Rio-grandense
4304671,Metropolitana de Porto Alegre
4304689,Metropolitana de Porto Alegre
4304697,Centro Oriental Rio-grandense
4304705,Noroeste Rio-grandense
4304713,Metropolitana de Porto Alegre
4304853,Noroeste Rio-grandense
4304903,Noroeste Rio-grandense
4304952,Noroeste Rio-grandense
4305009,Noroeste Rio-grandense
4305116,Noroeste Rio-grandense
4305124,Sudeste Rio-grandense
4305132,Centro Oriental Rio-grandense
4305157,Noroeste Rio-grandense
4305173,Metropolitana de Porto Alegre
4305207,Noroeste Rio-grandense
4305306,Noroeste Rio-grandense
4305355,Metropolitana de Porto Alegre
4305371,Noroeste Rio-grandense
4305405,Noroeste Rio-grandense
4305439,Sudeste Rio-grandense
4305447,Metropolitana de Porto Alegre
4305454,Metropolitana de Porto Alegre
4305504,Noroeste Rio-grandense
4305587,Centro Oriental Rio-grandense
4305603,Noroeste Rio-grandense
4305702,Noroeste Rio-grandense
4305801,Noroeste Rio-grandense
4305850,Noroeste Rio-grandense
4305871,Noroeste Rio-grandense
4305900,Noroeste Rio-grandense
4305975,Noroeste Rio-grandense
4306007,Noroeste Rio-grandense
4306056,Sudeste Rio-grandense
4306072,Noroeste Rio-grandense
4306106,Noroeste Rio-grandense
4306205,Centro Oriental Rio-grandense
4306304,Noroeste Rio-grandense
4306320,Noroeste Rio-grandense
4306353,Noroeste Rio-grandense
4306379,Centro Ocidental Rio-grandense
4306403,Metropolitana de Porto Alegre
4306429,Noroeste Rio-grandense
4306502,Metropolitana de Porto Alegre
4306551,Metropolitana de Porto Alegre
4306601,Sudoeste Rio-grandense
4306700,Centro Ocidental Rio-grandense
4306734,Noroeste Rio-grandense
4306759,Centro Oriental Rio-grandense
4306767,Metropolitana de Porto Alegre
4306809,Centro Oriental Rio-grandense
4306908,Sudeste Rio-grandense
4306924,Noroeste Rio-grandense
4306932,Noroeste Rio-grandense
4306957,Noroeste Rio-grandense
4306973,Noroeste Rio-grandense
4307005,Noroeste Rio-grandense
4307054,Noroeste Rio-grandense
4307104,Sudeste Rio-grandense
4307203,Noroeste Rio-grandense
4307302,Noroeste Rio-grandense
4307450,Noroeste Rio-grandense
4307500,Noroeste Rio-grandense
4307559,Noroeste Rio-grandense
4307609,Metropolitana de Porto Alegre
4307708,Metropolitana de Porto Alegre
4307807,Centro Oriental Rio-grandense
4307815,Centro Oriental Rio-grandense
4307831,Noroeste Rio-grandense
4308003,Centro Ocidental Rio-grandense
4308052,Noroeste Rio-grandense
4308078,Centro Oriental Rio-grandense
4308102,Metropolitana de Porto Alegre
4308250,Noroeste Rio-grandense
4308300,Noroeste Rio-grandense
4308409,Centro Ocidental Rio-grandense
4308458,Noroeste Rio-grandense
4308508,Noroeste Rio-grandense
4308656,Sudoeste Rio-grandense
4308706,Noroeste Rio-grandense
4308805,Metropolitana de Porto Alegre
4308854,Noroeste Rio-grandense
4308904,Noroeste Rio-grandense
4309001,Noroeste Rio-grandense
4309050,Metropolitana de Porto Alegre
4309100,Metropolitana de Porto Alegre
4309126,Noroeste Rio-grandense
4309159,Centro Oriental Rio-grandense
4309209,Metropolitana de Porto Alegre
4309308,Metropolitana de Porto Alegre
4309506,Noroeste Rio-grandense
4309555,Metropolitana de Porto Alegre
